symbol,sector,marketcap_cr
UNICHEMLAB,PHARMACEUTICALS,"1,572.74"
UNIONBANK,BANKS - PUBLIC SECTOR,"9,985.46"
UNITECH,CONSTRUCTION & CONTRACTING - CIVIL,"1,072.68"
UBL,BREWERIES & DISTILLERIES,"31,735.23"
UPL,CHEMICALS,"32,355.99"
VGUARD,ELECTRIC EQUIPMENT,"9,046.49"
WABAG,INFRASTRUCTURE - GENERAL,"2,015.62"
VAKRANGEE,COMPUTERS - SOFTWARE MEDIUM & SMALL,"6,633.40"
VTL,TEXTILES - SPINNING - COTTON BLENDED,"6,835.87"
VBL,FOOD PROCESSING,"13,802.01"
VEDL,MINING & MINERALS,"83,135.10"
VIDEOIND,CONSUMER GOODS - ELECTRONIC,200.68
VIJAYABANK,BANKS - PUBLIC SECTOR,"8,281.34"
VINATIORGA,CHEMICALS,"6,504.82"
VIPIND,PLASTICS,"7,959.70"
VOLTAS,DIVERSIFIED,"20,519.82"
VSTIND,CIGARETTES,"4,554.83"
WABCOINDIA,AUTO ANCILLARIES,"12,765.18"
WELCORP,STEEL - TUBES & PIPES,"3,381.63"
WELSPUNIND,TEXTILES - WEAVING,"6,646.26"
,HOTELS,"5,884.59"
WHIRLPOOL,CONSUMER GOODS - WHITE GOODS,"21,821.95"
WIPRO,COMPUTERS - SOFTWARE,"135,809.49"
WOCKPHARMA,PHARMACEUTICALS,"6,584.87"
WONDERLA,MISCELLANEOUS,"1,889.95"
YESBANK,BANKS - PRIVATE SECTOR,"88,332.83"
ZEEL,MEDIA & ENTERTAINMENT,"49,732.78"
ZENSARTECH,COMPUTERS - SOFTWARE,"5,537.37"
